rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1137,迷鹿了,44
2,524492831,墨雨青华,提督,524,迷鹿了,38
3,36037586,楓眠かえで,舰长,787,迷鹿了,43
4,5788217,秋乌Akitori,舰长,1719,迷鹿了,41
5,13779195,喜欢粉毛的你,舰长,837,迷鹿了,41
6,2089656854,转生为异世界邪恶肥子,舰长,854,迷鹿了,41
7,728681,易家锌,舰长,1677,迷鹿了,39
8,35130983,陌问今昔,舰长,1964,迷鹿了,39
9,317182120,心如丝梦如你,舰长,2011,迷鹿了,38
10,4608604,yuking007,舰长,2572,迷鹿了,37
11,76531552,Saaawyeeer,舰长,981,迷鹿了,37
12,57203699,冬瓜电竞丶诸葛宸,舰长,667,迷鹿了,36
13,36334172,比奇堡海藻,舰长,1529,迷鹿了,36
14,13992684,Lip---,舰长,1260,迷鹿了,36
15,255926027,愿鹿安好,舰长,1764,迷鹿了,35
16,261535655,夜猫nvn,舰长,1778,迷鹿了,35
17,13291397,不想再非的非酋,舰长,1507,迷鹿了,35
18,451350384,雪月yukituki,舰长,1318,迷鹿了,35
19,10799764,宅夭夭,舰长,320,迷鹿了,34
20,780791,Mia米娅-,舰长,1547,迷鹿了,34
21,607387388,夕樰,舰长,678,迷鹿了,34
22,1685618471,啊吧啊吧钱钱,舰长,1371,迷鹿了,34
23,404364598,顽皮苹果,舰长,1130,迷鹿了,34
24,4788143,みかんとオレンジ,舰长,1522,迷鹿了,34
25,33982941,神无明夜月,舰长,509,迷鹿了,34
26,91320117,樱语恋樱,舰长,1319,迷鹿了,34
27,31839477,清风蓝云KUANG,舰长,680,迷鹿了,33
28,18252173,圣痕丶王者,舰长,609,迷鹿了,33
29,667910950,合方三十六丶,舰长,126,迷鹿了,33
30,8954866,加把劲絕丗,舰长,862,迷鹿了,33
31,15219991,Noooooooooooooa,舰长,480,迷鹿了,33
32,32465121,妖桜柍烨,舰长,105,迷鹿了,33
33,360364727,小几乎zZ,舰长,579,迷鹿了,33
34,518227055,鹿宝家的米饭,舰长,299,迷鹿了,32
35,225151206,曲丶殇魂,舰长,525,迷鹿了,32
36,1408192758,--呵呵-------,舰长,462,迷鹿了,32
37,483188794,GalahadK,舰长,421,迷鹿了,32
38,7410263,靇戬,舰长,248,迷鹿了,32
39,30341194,夜银之牧,舰长,523,迷鹿了,32
40,1268629186,神医呀不door,舰长,174,迷鹿了,32
41,31379410,纲吉あいしてる,舰长,60,迷鹿了,31
42,298125310,闌珊凨月,舰长,170,迷鹿了,30
43,8639596,倾海长城,舰长,591,迷鹿了,30
44,34742021,心安安_zZ,舰长,255,迷鹿了,30
45,9353716,西木野焰,舰长,146,迷鹿了,30
46,3546606502677055,豆梓Dora,舰长,426,迷鹿了,30
47,239543249,唯爱今天早睡早起了嘛,舰长,194,迷鹿了,30
48,128822949,威_胡,舰长,333,迷鹿了,30
49,517993259,鹿の小鸟发电机,舰长,82,迷鹿了,30
50,37143691,无一仪乙忆,舰长,517,迷鹿了,29
51,252057046,久别恨相逢,舰长,91,迷鹿了,29
52,320614834,梵星春水,舰长,93,迷鹿了,28
53,15436414,碘酸铜-トン-ai-bot,舰长,116,迷鹿了,28
54,372254954,Chunhai_,舰长,25,迷鹿了,28
55,3546726361205623,Konoroyda,舰长,114,迷鹿了,28
56,29220715,G02917,舰长,103,迷鹿了,28
57,116433646,君臣在此,舰长,111,迷鹿了,27
58,87966527,硅氧SIO,舰长,85,迷鹿了,27
59,450883056,坚持对抗路的圆圈,舰长,83,迷鹿了,27
60,2105655730,诸葛伟格VGE,舰长,166,迷鹿了,27
61,3546765181585458,鹿牛的宝至,舰长,73,迷鹿了,27
62,12882573,吉村椿黛,舰长,31,迷鹿了,27
63,525034620,旧忆-新欢,舰长,73,迷鹿了,26
64,6258125,霍普尼亚,舰长,47,迷鹿了,26
65,3461571837692728,有能的迷鹿,舰长,121,迷鹿了,25
66,3546585388550618,时空管理局炸弹人,舰长,150,迷鹿了,25
67,595570007,梦中owo,舰长,30,迷鹿了,25
68,10473049,ShIrOsEcho,舰长,154,迷鹿了,25
69,451291682,乔治肘击萝卜头,舰长,46,迷鹿了,25
70,1173397010,Mutekiの老实葱,舰长,24,迷鹿了,22
71,29977228,枫城-青羽,舰长,30,迷鹿了,22
72,352604235,微墨染我心,舰长,28,迷鹿了,22
73,3493116004796675,寒木木啊,舰长,12,迷鹿了,22
74,485415881,恵の猫,舰长,16,迷鹿了,22
75,33751205,迷子Penguin_QwQ,舰长,29,迷鹿了,22
76,349522683,绘安眠,舰长,25,迷鹿了,22
77,895575,叶月兔,舰长,25,迷鹿了,22
78,516374190,阿白の失眠日记,舰长,20,迷鹿了,21
79,361822431,赴梦TAT,舰长,24,迷鹿了,21
80,400099758,魔法老妪刻师傅,舰长,5,迷鹿了,21
81,291542350,Jack_Beta,舰长,31,迷鹿了,21
