rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1221,迷鹿了,45
2,32465121,妖桜柍烨,提督,189,迷鹿了,36
3,36037586,楓眠かえで,舰长,871,迷鹿了,43
4,5788217,秋乌Akitori,舰长,1800,迷鹿了,41
5,2089656854,转生为异世界邪恶肥子,舰长,938,迷鹿了,41
6,35130983,陌问今昔,舰长,2048,迷鹿了,39
7,524492831,鹿雨青华_令鱼头大啊,舰长,608,迷鹿了,39
8,317182120,心如丝梦如你,舰长,2095,迷鹿了,38
9,4608604,yuking007,舰长,2656,迷鹿了,38
10,76531552,Saaawyeeer,舰长,1065,迷鹿了,38
11,36334172,比奇堡海藻,舰长,1613,迷鹿了,36
12,13992684,Lip---,舰长,1344,迷鹿了,36
13,261535655,夜猫nvn,舰长,1858,迷鹿了,35
14,13291397,不想再非的非酋,舰长,1591,迷鹿了,35
15,451350384,雪月yukituki,舰长,1402,迷鹿了,35
16,10799764,宅夭夭,舰长,404,迷鹿了,35
17,780791,Mia米娅-,舰长,1631,迷鹿了,35
18,667910950,合方三十六丶,舰长,210,迷鹿了,35
19,404364598,顽皮苹果,舰长,1192,迷鹿了,35
20,1685618471,啊吧啊吧钱钱,舰长,1455,迷鹿了,34
21,4788143,みかんとオレンジ,舰长,1606,迷鹿了,34
22,31839477,清风蓝云KUANG,舰长,757,迷鹿了,34
23,18252173,圣痕丶王者,舰长,693,迷鹿了,34
24,225151206,曲丶殇魂,舰长,609,迷鹿了,33
25,360364727,小几乎zZ,舰长,663,迷鹿了,33
26,1408192758,--呵呵-------,舰长,537,迷鹿了,33
27,1269186,神器藏兜哪有错,舰长,481,迷鹿了,33
28,483188794,GalahadK,舰长,505,迷鹿了,33
29,288224844,亚瑟啊亚瑟,舰长,539,迷鹿了,33
30,372254954,Chunhaihaihai,舰长,109,迷鹿了,33
31,9353716,西木野焰,舰长,230,迷鹿了,32
32,239543249,唯爱困困噜,舰长,278,迷鹿了,32
33,3546765181585458,鹿宝的吕paul,舰长,157,迷鹿了,32
34,252057046,久别恨相逢,舰长,175,迷鹿了,31
35,517993259,鹿の小鸟发电机,舰长,166,迷鹿了,31
36,34742021,心安安_zZ,舰长,283,迷鹿了,31
37,298125310,闌珊凨月,舰长,254,迷鹿了,30
38,29220715,G02917,舰长,176,迷鹿了,30
39,15436414,碘酸铜-トン-スミ-ai-bot,舰长,200,迷鹿了,30
40,320614834,梵星春水,舰长,177,迷鹿了,30
41,87966527,硅氧SIO,舰长,169,迷鹿了,30
42,668712292,五等分的成绩,舰长,130,迷鹿了,30
43,356232444,浅夜疏雨,舰长,98,迷鹿了,30
44,2105655730,诸葛伟格VGE,舰长,250,迷鹿了,29
45,525034620,旧忆-新欢,舰长,157,迷鹿了,29
46,28134309,小开关_,舰长,85,迷鹿了,29
47,1834451573,小三月suki,舰长,58,迷鹿了,28
48,1850996876,无所谓-13,舰长,98,迷鹿了,28
49,125199740,寻里枫椛,舰长,39,迷鹿了,26
50,1339594848,摸鱼的ab,舰长,50,迷鹿了,26
51,1056593109,78年老吃家,舰长,48,迷鹿了,26
52,350002530,白仄_OvO,舰长,63,迷鹿了,26
53,25293246,不被时光叨叨的星辰,舰长,22,迷鹿了,25
54,319414741,辞浑,舰长,15,迷鹿了,25
55,13672009,安魂の弥撒_,舰长,2,迷鹿了,24
56,32955796,南思广夏,舰长,9,迷鹿了,23
57,195542678,晚晚sumi家的随风笙,舰长,18,迷鹿了,23
58,45080986,西伯利亚种土豆z,舰长,16,迷鹿了,21
59,359925660,我该起啡的,舰长,18,迷鹿了,21
60,1191420319,八云千落,舰长,7,迷鹿了,21
61,596143720,诺然---,舰长,10,迷鹿了,21
