rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1208,迷鹿了,45
2,36037586,楓眠かえで,舰长,858,迷鹿了,43
3,5788217,秋乌Akitori,舰长,1787,迷鹿了,41
4,2089656854,转生为异世界邪恶肥子,舰长,925,迷鹿了,41
5,35130983,陌问今昔,舰长,2035,迷鹿了,39
6,524492831,鹿雨青华_令鱼头大啊,舰长,595,迷鹿了,39
7,317182120,心如丝梦如你,舰长,2082,迷鹿了,38
8,4608604,yuking007,舰长,2643,迷鹿了,38
9,76531552,Saaawyeeer,舰长,1052,迷鹿了,38
10,36334172,比奇堡海藻,舰长,1600,迷鹿了,36
11,13992684,Lip---,舰长,1331,迷鹿了,36
12,261535655,夜猫nvn,舰长,1845,迷鹿了,35
13,13291397,不想再非的非酋,舰长,1578,迷鹿了,35
14,451350384,雪月yukituki,舰长,1389,迷鹿了,35
15,10799764,宅夭夭,舰长,391,迷鹿了,35
16,32465121,妖桜柍烨,舰长,176,迷鹿了,35
17,780791,Mia米娅-,舰长,1618,迷鹿了,35
18,404364598,顽皮苹果,舰长,1179,迷鹿了,35
19,667910950,合方三十六丶,舰长,197,迷鹿了,34
20,1685618471,啊吧啊吧钱钱,舰长,1442,迷鹿了,34
21,4788143,みかんとオレンジ,舰长,1593,迷鹿了,34
22,31839477,清风蓝云KUANG,舰长,746,迷鹿了,34
23,18252173,圣痕丶王者,舰长,680,迷鹿了,34
24,360364727,小几乎zZ,舰长,650,迷鹿了,33
25,225151206,曲丶殇魂,舰长,596,迷鹿了,33
26,1269186,神器藏兜哪有错,舰长,468,迷鹿了,33
27,483188794,GalahadK,舰长,492,迷鹿了,33
28,288224844,亚瑟啊亚瑟,舰长,526,迷鹿了,33
29,372254954,Chunhaihaihai,舰长,96,迷鹿了,33
30,9353716,西木野焰,舰长,217,迷鹿了,32
31,239543249,唯爱今天早睡早起了嘛,舰长,265,迷鹿了,32
32,3546765181585458,鹿牛的宝至_甘甜版,舰长,144,迷鹿了,32
33,378889020,-漠云-,舰长,116,迷鹿了,31
34,252057046,久别恨相逢,舰长,162,迷鹿了,31
35,517993259,鹿の小鸟发电机,舰长,153,迷鹿了,31
36,298125310,闌珊凨月,舰长,241,迷鹿了,30
37,29220715,G02917,舰长,163,迷鹿了,30
38,15436414,碘酸铜-トン-スミ-ai-bot,舰长,187,迷鹿了,30
39,320614834,梵星春水,舰长,164,迷鹿了,30
40,87966527,硅氧SIO,舰长,156,迷鹿了,30
41,668712292,五等分的成绩,舰长,118,迷鹿了,29
42,2105655730,诸葛伟格VGE,舰长,237,迷鹿了,29
43,525034620,旧忆-新欢,舰长,144,迷鹿了,29
44,28134309,小开关_,舰长,72,迷鹿了,29
45,581760498,墨雨染江-_-,舰长,54,迷鹿了,28
46,1834451573,小三月suki,舰长,45,迷鹿了,28
47,1155470657,sai_6x,舰长,86,迷鹿了,27
48,451291682,乔治肘击萝卜头,舰长,117,迷鹿了,27
49,50110410,熊桑阿,舰长,27,迷鹿了,27
50,3546554994527139,弥生千梦,舰长,61,迷鹿了,27
51,3546566604360057,九條Kujou,舰长,52,迷鹿了,27
52,1339594848,摸鱼的ab,舰长,37,迷鹿了,26
53,3546696327891260,鹿宝的小狗,舰长,50,迷鹿了,26
54,125199740,寻里枫椛,舰长,26,迷鹿了,26
55,1056593109,78年老吃家,舰长,35,迷鹿了,25
56,25293246,不被时光叨叨的星辰,舰长,9,迷鹿了,25
57,319414741,辞浑,舰长,2,迷鹿了,24
58,195542678,晚晚sumi家的随风笙,舰长,5,迷鹿了,23
59,359925660,我该起啡的,舰长,5,迷鹿了,21
60,45080986,西伯利亚种土豆z,舰长,3,迷鹿了,21
