rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1191,迷鹿了,44
2,36037586,楓眠かえで,舰长,841,迷鹿了,43
3,5788217,秋乌Akitori,舰长,1770,迷鹿了,41
4,2089656854,转生为异世界邪恶肥子,舰长,908,迷鹿了,41
5,728681,易家锌,舰长,1731,迷鹿了,39
6,35130983,陌问今昔,舰长,2018,迷鹿了,39
7,524492831,鹿雨青华,舰长,578,迷鹿了,39
8,317182120,心如丝梦如你,舰长,2065,迷鹿了,38
9,4608604,yuking007,舰长,2626,迷鹿了,38
10,76531552,Saaawyeeer,舰长,1035,迷鹿了,37
11,20671519,隔壁老仨,舰长,611,迷鹿了,37
12,36334172,比奇堡海藻,舰长,1583,迷鹿了,36
13,13992684,Lip---,舰长,1314,迷鹿了,36
14,261535655,夜猫nvn,舰长,1828,迷鹿了,35
15,13291397,不想再非的非酋,舰长,1561,迷鹿了,35
16,302458832,萌新云曦酱,舰长,910,迷鹿了,35
17,451350384,雪月yukituki,舰长,1372,迷鹿了,35
18,32465121,妖桜柍烨,舰长,159,迷鹿了,35
19,10799764,宅夭夭,舰长,374,迷鹿了,35
20,780791,Mia米娅-,舰长,1601,迷鹿了,35
21,1685618471,啊吧啊吧钱钱,舰长,1425,迷鹿了,34
22,4788143,みかんとオレンジ,舰长,1576,迷鹿了,34
23,404364598,顽皮苹果,舰长,1162,迷鹿了,34
24,667910950,合方三十六丶,舰长,180,迷鹿了,34
25,31839477,清风蓝云KUANG,舰长,729,迷鹿了,34
26,18252173,圣痕丶王者,舰长,663,迷鹿了,34
27,33982941,神无明夜月,舰长,563,迷鹿了,34
28,225151206,曲丶殇魂,舰长,579,迷鹿了,33
29,360364727,小几乎zZ,舰长,633,迷鹿了,33
30,1269186,神器藏兜哪有错,舰长,451,迷鹿了,33
31,1408192758,--呵呵-------,舰长,515,迷鹿了,33
32,518227055,大白米fan,舰长,353,迷鹿了,33
33,483188794,GalahadK,舰长,475,迷鹿了,32
34,372254954,Chunhaihaihai,舰长,79,迷鹿了,32
35,239543249,唯爱今天早睡早起了嘛,舰长,248,迷鹿了,32
36,3546765181585458,鹿牛的宝至_干瘪版,舰长,127,迷鹿了,32
37,9353716,西木野焰,舰长,200,迷鹿了,31
38,517993259,鹿の小鸟发电机,舰长,136,迷鹿了,31
39,3546606502677055,豆梓Dora,舰长,480,迷鹿了,31
40,298125310,闌珊凨月,舰长,224,迷鹿了,30
41,378889020,-漠云-,舰长,99,迷鹿了,30
42,320614834,梵星春水,舰长,147,迷鹿了,30
43,324853531,我看你是想要惹,舰长,170,迷鹿了,30
44,252057046,久别恨相逢,舰长,145,迷鹿了,30
45,15436414,碘酸铜-トン-スミ-ai-bot,舰长,170,迷鹿了,29
46,1849096638,已失忆的金木233,舰长,79,迷鹿了,29
47,2105655730,诸葛伟格VGE,舰长,220,迷鹿了,29
48,525034620,旧忆-新欢,舰长,127,迷鹿了,29
49,668712292,五等分的成绩,舰长,101,迷鹿了,28
50,87966527,硅氧SIO,舰长,139,迷鹿了,28
51,28134309,小开关_,舰长,55,迷鹿了,28
52,166697233,天使念经,舰长,48,迷鹿了,28
53,418522198,砂糖_冬季限定,舰长,120,迷鹿了,27
54,581760498,墨雨染江-_-,舰长,37,迷鹿了,27
55,1155470657,sai_6x,舰长,69,迷鹿了,27
56,451291682,乔治肘击萝卜头,舰长,100,迷鹿了,27
57,50110410,熊桑阿,舰长,10,迷鹿了,27
58,3493110204074132,_费阳阳_,舰长,79,迷鹿了,27
59,3546566604360057,九條Kujou,舰长,35,迷鹿了,27
60,595570007,梦中owo,舰长,84,迷鹿了,26
61,3546696327891260,鹿宝的小狗,舰长,33,迷鹿了,26
62,3546554994527139,弥生千梦,舰长,44,迷鹿了,25
63,125199740,寻里枫椛,舰长,9,迷鹿了,25
64,527248270,找DELTA暖手,舰长,27,迷鹿了,24
65,1834451573,小三月suki,舰长,28,迷鹿了,24
66,1056593109,78年老吃家,舰长,25,迷鹿了,24
67,270858425,XueyuanQAQ,舰长,49,迷鹿了,24
68,1339594848,摸鱼的ab,舰长,20,迷鹿了,23
69,289164522,慢性精神死亡,舰长,23,迷鹿了,23
70,522991514,照慤,舰长,26,迷鹿了,22
71,22474118,一拳兔子酱,舰长,28,迷鹿了,22
72,10853233,哈吉乃乃哈尽了,舰长,26,迷鹿了,21
73,477720754,晓宇gyouu,舰长,25,迷鹿了,21
