rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1300,迷鹿了,45
2,5788217,秋乌Akitori,舰长,1863,迷鹿了,42
3,524492831,鹿雨青华_鹿茸菇味,舰长,687,迷鹿了,39
4,35130983,陌问今昔,舰长,2127,迷鹿了,39
5,317182120,心如丝梦如你,舰长,2174,迷鹿了,39
6,4608604,yuking007,舰长,2735,迷鹿了,38
7,76531552,Saaawyeeer,舰长,1144,迷鹿了,38
8,36334172,比奇堡海藻,舰长,1692,迷鹿了,37
9,32465121,妖桜柍烨,舰长,268,迷鹿了,37
10,13992684,Lip---,舰长,1423,迷鹿了,36
11,261535655,夜猫nvn,舰长,1937,迷鹿了,36
12,13291397,不想再非的非酋,舰长,1670,迷鹿了,35
13,451350384,雪月yukituki,舰长,1481,迷鹿了,35
14,667910950,合方三十六丶,舰长,289,迷鹿了,35
15,10799764,宅夭夭,舰长,483,迷鹿了,35
16,780791,Mia米娅-,舰长,1710,迷鹿了,35
17,1685618471,啊吧啊吧钱钱,舰长,1533,迷鹿了,35
18,31839477,清风蓝云KUANG,舰长,833,迷鹿了,35
19,252057046,久别恨相逢,舰长,254,迷鹿了,35
20,4788143,みかんとオレンジ,舰长,1685,迷鹿了,35
21,18252173,圣痕丶王者,舰长,772,迷鹿了,34
22,360364727,小几乎zZ,舰长,742,迷鹿了,34
23,225151206,曲丶殇魂,舰长,688,迷鹿了,34
24,1408192758,--呵呵-------,舰长,615,迷鹿了,33
25,483188794,GalahadK,舰长,584,迷鹿了,33
26,9353716,西木野焰,舰长,309,迷鹿了,33
27,3546765181585458,鹿牛的宝至_冷宫版,舰长,213,迷鹿了,33
28,239543249,唯爱困困噜,舰长,357,迷鹿了,33
29,517993259,鹿啾小鸟,舰长,243,迷鹿了,32
30,320614834,梵星春水,舰长,243,迷鹿了,31
31,15436414,碘酸铜-トン-ai-bot,舰长,279,迷鹿了,31
32,87966527,硅氧SIO,舰长,248,迷鹿了,31
33,298125310,闌珊凨月,舰长,333,迷鹿了,31
34,1834451573,小三月suki,舰长,115,迷鹿了,30
35,2105655730,诸葛伟格VGE,舰长,329,迷鹿了,30
36,525034620,旧忆-新欢,舰长,236,迷鹿了,30
37,439370759,迷糊米酷,舰长,62,迷鹿了,29
38,172831654,虒頔,舰长,67,迷鹿了,25
39,1191420319,八云千落,舰长,86,迷鹿了,25
40,32704856,鸠羽牵机,舰长,18,迷鹿了,25
41,3546644953958869,晚晚Sumi,舰长,92,迷鹿了,25
42,355649089,船亚_星野坊,舰长,3,迷鹿了,24
43,1898388772,凉风慕槿篱ovo,舰长,20,迷鹿了,24
44,2779804,请叫我楠哥,舰长,14,迷鹿了,21
45,1504823028,白咲的诺维雅,舰长,28,迷鹿了,21
46,1965555550,Nukaso,舰长,10,迷鹿了,21
47,411338147,初夏甜茶,舰长,3,迷鹿了,21
