rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1296,迷鹿了,45
2,5788217,秋乌Akitori,舰长,1859,迷鹿了,42
3,524492831,鹿雨青华_鹿茸菇味,舰长,683,迷鹿了,39
4,35130983,陌问今昔,舰长,2123,迷鹿了,39
5,317182120,心如丝梦如你,舰长,2170,迷鹿了,39
6,4608604,yuking007,舰长,2731,迷鹿了,38
7,76531552,Saaawyeeer,舰长,1140,迷鹿了,38
8,36334172,比奇堡海藻,舰长,1688,迷鹿了,37
9,32465121,妖桜柍烨,舰长,264,迷鹿了,37
10,13992684,Lip---,舰长,1419,迷鹿了,36
11,261535655,夜猫nvn,舰长,1933,迷鹿了,36
12,13291397,不想再非的非酋,舰长,1666,迷鹿了,35
13,451350384,雪月yukituki,舰长,1477,迷鹿了,35
14,667910950,合方三十六丶,舰长,285,迷鹿了,35
15,10799764,宅夭夭,舰长,479,迷鹿了,35
16,780791,Mia米娅-,舰长,1706,迷鹿了,35
17,31839477,清风蓝云KUANG,舰长,829,迷鹿了,35
18,252057046,久别恨相逢,舰长,250,迷鹿了,35
19,1685618471,啊吧啊吧钱钱,舰长,1529,迷鹿了,35
20,4788143,みかんとオレンジ,舰长,1681,迷鹿了,35
21,18252173,圣痕丶王者,舰长,768,迷鹿了,34
22,360364727,小几乎zZ,舰长,738,迷鹿了,34
23,225151206,曲丶殇魂,舰长,684,迷鹿了,34
24,1408192758,--呵呵-------,舰长,611,迷鹿了,33
25,483188794,GalahadK,舰长,580,迷鹿了,33
26,9353716,西木野焰,舰长,305,迷鹿了,33
27,239543249,唯爱困困噜,舰长,353,迷鹿了,33
28,517993259,鹿啾小鸟,舰长,239,迷鹿了,32
29,320614834,梵星春水,舰长,239,迷鹿了,31
30,15436414,碘酸铜-トン-ai-bot,舰长,275,迷鹿了,31
31,87966527,硅氧SIO,舰长,244,迷鹿了,31
32,298125310,闌珊凨月,舰长,329,迷鹿了,31
33,1834451573,小三月suki,舰长,111,迷鹿了,30
34,2105655730,诸葛伟格VGE,舰长,325,迷鹿了,30
35,525034620,旧忆-新欢,舰长,232,迷鹿了,30
36,439370759,迷糊米酷,舰长,58,迷鹿了,28
37,172831654,虒頔,舰长,63,迷鹿了,25
38,1191420319,八云千落,舰长,82,迷鹿了,25
39,3546644953958869,晚晚Sumi,舰长,88,迷鹿了,25
40,32704856,鸠羽牵机,舰长,14,迷鹿了,25
41,10853233,哈吉乃乃哈尽了,舰长,59,迷鹿了,24
42,1898388772,凉风慕槿篱ovo,舰长,16,迷鹿了,24
43,517895901,前行的时间,舰长,29,迷鹿了,22
44,2779804,请叫我楠哥,舰长,10,迷鹿了,21
45,1504823028,白咲的诺维雅,舰长,24,迷鹿了,21
46,1965555550,Nukaso,舰长,6,迷鹿了,21
