rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1313,迷鹿了,45
2,5788217,秋乌Akitori,舰长,1876,迷鹿了,42
3,13779195,喜欢粉毛的你,舰长,857,迷鹿了,41
4,524492831,鹿雨青华_鹿茸菇味,舰长,700,迷鹿了,39
5,35130983,陌问今昔,舰长,2140,迷鹿了,39
6,317182120,心如丝梦如你,舰长,2187,迷鹿了,39
7,4608604,yuking007,舰长,2748,迷鹿了,38
8,76531552,Saaawyeeer,舰长,1157,迷鹿了,38
9,32465121,妖桜柍烨,舰长,281,迷鹿了,37
10,36334172,比奇堡海藻,舰长,1705,迷鹿了,37
11,13992684,Lip---,舰长,1436,迷鹿了,36
12,261535655,夜猫nvn,舰长,1950,迷鹿了,36
13,13291397,不想再非的非酋,舰长,1683,迷鹿了,35
14,451350384,雪月yukituki,舰长,1494,迷鹿了,35
15,667910950,合方三十六丶,舰长,302,迷鹿了,35
16,10799764,宅夭夭,舰长,496,迷鹿了,35
17,780791,Mia米娅-,舰长,1723,迷鹿了,35
18,31839477,清风蓝云KUANG,舰长,846,迷鹿了,35
19,1685618471,啊吧啊吧钱钱,舰长,1546,迷鹿了,35
20,252057046,久别恨相逢,舰长,267,迷鹿了,35
21,4788143,みかんとオレンジ,舰长,1698,迷鹿了,35
22,18252173,圣痕丶王者,舰长,785,迷鹿了,35
23,607387388,夕樰,舰长,695,迷鹿了,34
24,360364727,小几乎zZ,舰长,755,迷鹿了,34
25,225151206,曲丶殇魂,舰长,701,迷鹿了,34
26,483188794,GalahadK,舰长,597,迷鹿了,33
27,3546765181585458,鹿牛的宝至,舰长,226,迷鹿了,33
28,9353716,西木野焰,舰长,322,迷鹿了,33
29,239543249,唯爱困困噜,舰长,370,迷鹿了,33
30,517993259,鹿啾小鸟,舰长,256,迷鹿了,32
31,689495752,阿妈粽Omega,舰长,130,迷鹿了,32
32,320614834,梵星春水,舰长,256,迷鹿了,31
33,15436414,碘酸铜-トン-ai-bot,舰长,292,迷鹿了,31
34,87966527,硅氧SIO,舰长,261,迷鹿了,31
35,298125310,闌珊凨月,舰长,346,迷鹿了,31
36,2105655730,诸葛伟格VGE,舰长,342,迷鹿了,30
37,439370759,迷糊米酷,舰长,75,迷鹿了,29
38,32704856,鸠羽牵机,舰长,31,迷鹿了,26
39,1191420319,八云千落,舰长,99,迷鹿了,26
40,172831654,虒頔,舰长,80,迷鹿了,25
41,1898388772,凉风慕槿篱ovo,舰长,33,迷鹿了,25
42,355649089,船亚_果子狐版,舰长,16,迷鹿了,24
43,700300832,由比ヶ浜フェザー,舰长,3,迷鹿了,22
44,432937014,烛霖-末法级龙娘,舰长,8,迷鹿了,22
45,29596086,子灵灵灵灵,舰长,8,迷鹿了,22
46,2779804,请叫我楠哥,舰长,27,迷鹿了,21
47,1965555550,Nukaso,舰长,23,迷鹿了,21
48,1966599003,泠终karma,舰长,10,迷鹿了,21
49,3707005202074084,总想不叹气,舰长,8,迷鹿了,21
50,513964130,立厂有川,舰长,1,迷鹿了,21
51,411338147,旱榔恋恋,舰长,16,迷鹿了,21
52,3707030342731858,账号已注销,舰长,7,迷鹿了,21
