rank,uid,username,type,accompany,medal_name,medal_level
1,5505904,Young上尉,提督,524,迷鹿了,42
2,2396905,闌珊凨雨,舰长,1358,迷鹿了,45
3,5788217,秋乌Akitori,舰长,1921,迷鹿了,42
4,524492831,鹿雨青华_鹿有容乃大,舰长,745,迷鹿了,40
5,35130983,陌问今昔,舰长,2185,迷鹿了,39
6,4608604,yuking007,舰长,2793,迷鹿了,39
7,317182120,心如丝梦如你,舰长,2232,迷鹿了,39
8,76531552,Saaawyeeer,舰长,1202,迷鹿了,38
9,32465121,妖桜柍烨,舰长,326,迷鹿了,37
10,36334172,比奇堡海藻,舰长,1750,迷鹿了,37
11,13992684,Lip---,舰长,1481,迷鹿了,37
12,261535655,夜猫nvn,舰长,1995,迷鹿了,36
13,451350384,雪月yukituki,舰长,1539,迷鹿了,36
14,13291397,不想再非的非酋,舰长,1728,迷鹿了,36
15,360576830,DriedJellyfish,舰长,42,迷鹿了,36
16,667910950,合方三十六丶,舰长,347,迷鹿了,35
17,252057046,久别恨相逢,舰长,308,迷鹿了,35
18,10799764,宅夭夭,舰长,541,迷鹿了,35
19,1685618471,啊吧啊吧钱钱,舰长,1591,迷鹿了,35
20,780791,Mia米娅-,舰长,1768,迷鹿了,35
21,31839477,清风蓝云KUANG,舰长,887,迷鹿了,35
22,4788143,みかんとオレンジ,舰长,1743,迷鹿了,35
23,360364727,小几乎zZ,舰长,800,迷鹿了,34
24,33982941,神无明夜月,舰长,635,迷鹿了,34
25,372254954,Chunhaihaihai,舰长,207,迷鹿了,34
26,225151206,曲丶殇魂,舰长,746,迷鹿了,34
27,9353716,西木野焰,舰长,367,迷鹿了,34
28,483188794,GalahadK,舰长,642,迷鹿了,34
29,3546765181585458,至牛的宝鹿,舰长,271,迷鹿了,33
30,239543249,唯爱困困噜,舰长,415,迷鹿了,33
31,15219991,Noooooooooooooa,舰长,495,迷鹿了,33
32,62995322,晚晚家的冒泡,舰长,397,迷鹿了,32
33,30341194,夜银之牧,舰长,550,迷鹿了,32
34,517993259,鹿啾小鸟,舰长,301,迷鹿了,32
35,8429748,月影黯然,舰长,550,迷鹿了,32
36,320614834,梵星春水,舰长,301,迷鹿了,32
37,448715396,l伊蕾娜I,舰长,42,迷鹿了,31
38,87966527,硅氧SIO,舰长,306,迷鹿了,31
39,700300832,由比ヶ浜フェザー,舰长,48,迷鹿了,31
40,3546606502677055,豆梓Dora,舰长,492,迷鹿了,31
41,298125310,闌珊凨月,舰长,391,迷鹿了,31
42,2105655730,诸葛伟格VGE,舰长,387,迷鹿了,30
43,581760498,墨雨染江-_-,舰长,103,迷鹿了,30
44,2719271,古埃及掌管飞蛾的神,舰长,34,迷鹿了,30
45,497991168,主播家里会跳舞的蟑螂,舰长,27,迷鹿了,30
46,4576161,冬眠Nemu,舰长,315,迷鹿了,29
47,1155470657,sai_6x,舰长,122,迷鹿了,29
48,527248270,DYD_xx,舰长,62,迷鹿了,29
49,1211360516,_风都烟火_,舰长,119,迷鹿了,29
50,15566057,本班次正向华胥行驶,舰长,31,迷鹿了,28
51,1587093255,__浮浮__,舰长,13,迷鹿了,28
52,32900809,telilun,舰长,31,迷鹿了,28
53,432367270,索尼娅丶米哈伊里芙娜,舰长,27,迷鹿了,27
54,32704856,鸠羽牵机,舰长,76,迷鹿了,27
55,284526714,en瓜,舰长,121,迷鹿了,27
56,3493088435636602,饭团味の苦瓜,舰长,88,迷鹿了,27
57,3546661024434639,清风吹不散离愁,舰长,15,迷鹿了,26
58,2005529991,睡意十足,舰长,13,迷鹿了,26
59,1097490093,我们永远不分离660の721,舰长,10,迷鹿了,25
60,1091625771,爱吃枣椰蜜糖,舰长,3,迷鹿了,25
61,3494370544191838,yh胡椒粉,舰长,5,迷鹿了,25
62,314581741,i云鹤,舰长,13,迷鹿了,25
63,14394062,单梦之,舰长,52,迷鹿了,25
64,1753227567,萌萌下山虎w,舰长,29,迷鹿了,24
65,1965555550,Nukaso,舰长,42,迷鹿了,24
66,10805420,鸦鸦Corvus,舰长,58,迷鹿了,24
67,523940460,浪花-彼岸,舰长,7,迷鹿了,24
68,3546880841615865,阴暗爬行蛄蛹蠕动,舰长,45,迷鹿了,24
69,3707005202074084,总想不叹气,舰长,53,迷鹿了,23
70,3546890511583495,哈斯卡_出道准备中,舰长,29,迷鹿了,23
71,87886966,奈丸咕哒,舰长,31,迷鹿了,23
72,399961440,浅梦_dream,舰长,29,迷鹿了,21
73,769329,オイナリサマ,舰长,6,迷鹿了,21
74,419054936,墨阡宝宝,舰长,16,迷鹿了,21
75,3546761438169249,飞机zzzz,舰长,10,迷鹿了,21
76,3546965002422730,苏长生-5,舰长,16,迷鹿了,21
77,33510606,茉白桜べ,舰长,21,迷鹿了,21
78,3546832894429426,通贩版大恐龙,舰长,13,迷鹿了,21
